1789795230.542467	8/8@balance_power(12/8)	compress
1789795235.282079	8/8@balance_power(12/8)	gap
1789795239.327081	8/8@balance_power(12/8)	sustained40s
1789795281.414647	8/8@balance_power(12/8)	end
1789795289.421161	cool	wait
1789795331.672006	8/12(12/12)	idle
1789795346.712257	8/12(12/12)	pdf_render
1789795362.041801	8/12(12/12)	gap
1789795366.079898	8/12(12/12)	pdf_render
1789795381.383972	8/12(12/12)	gap
1789795385.421248	8/12(12/12)	office
1789795387.838890	8/12(12/12)	gap
1789795391.863561	8/12(12/12)	office
1789795394.319067	8/12(12/12)	gap
1789795398.359183	8/12(12/12)	python
1789795401.029721	8/12(12/12)	gap
1789795405.053680	8/12(12/12)	python
1789795407.667568	8/12(12/12)	gap
1789795411.701675	8/12(12/12)	compress
1789795415.722700	8/12(12/12)	gap
1789795419.757277	8/12(12/12)	compress
1789795423.566670	8/12(12/12)	gap
1789795427.614503	8/12(12/12)	sustained40s
1789795468.115789	8/12(12/12)	end
1789795476.123162	cool	wait
1789795534.465141	8/15(12/15)	idle
1789795549.506140	8/15(12/15)	pdf_render
1789795564.865380	8/15(12/15)	gap
1789795568.902076	8/15(12/15)	pdf_render
1789795583.996141	8/15(12/15)	gap
1789795588.038787	8/15(12/15)	office
1789795590.471323	8/15(12/15)	gap
1789795594.499717	8/15(12/15)	office
1789795596.977249	8/15(12/15)	gap
1789795601.017868	8/15(12/15)	python
1789795603.613724	8/15(12/15)	gap
1789795607.647047	8/15(12/15)	python
1789795610.312235	8/15(12/15)	gap
1789795614.349547	8/15(12/15)	compress
1789795618.179073	8/15(12/15)	gap
1789795622.212788	8/15(12/15)	compress
1789795626.185162	8/15(12/15)	gap
1789795630.236219	8/15(12/15)	sustained40s
1789795670.824112	8/15(12/15)	end
1789795678.832298	cool	wait
1789795737.162562	10/10(12/10)	idle
1789795752.199501	10/10(12/10)	pdf_render
1789795767.265582	10/10(12/10)	gap
1789795771.300506	10/10(12/10)	pdf_render
1789795786.625791	10/10(12/10)	gap
1789795790.667955	10/10(12/10)	office
1789795793.082547	10/10(12/10)	gap
1789795797.107366	10/10(12/10)	office
1789795799.572493	10/10(12/10)	gap
1789795803.605256	10/10(12/10)	python
1789795806.302630	10/10(12/10)	gap
1789795810.333640	10/10(12/10)	python
1789795813.078215	10/10(12/10)	gap
1789795817.121791	10/10(12/10)	compress
1789795821.294200	10/10(12/10)	gap
1789795825.339083	10/10(12/10)	compress
1789795829.442983	10/10(12/10)	gap
1789795833.489109	10/10(12/10)	sustained40s
1789795874.237887	10/10(12/10)	end
1789795882.244465	cool	wait
1789795934.525158	12/12(12/12)	idle
1789795949.567164	12/12(12/12)	pdf_render
1789795964.496489	12/12(12/12)	gap
1789795968.526969	12/12(12/12)	pdf_render
1789795983.829703	12/12(12/12)	gap
1789795987.871686	12/12(12/12)	office
1789795990.336172	12/12(12/12)	gap
1789795994.370057	12/12(12/12)	office
1789795996.850547	12/12(12/12)	gap
1789796000.888927	12/12(12/12)	python
1789796003.545803	12/12(12/12)	gap
1789796007.569943	12/12(12/12)	python
1789796010.269235	12/12(12/12)	gap
1789796014.311224	12/12(12/12)	compress
1789796018.197518	12/12(12/12)	gap
1789796022.237606	12/12(12/12)	compress
1789796026.246480	12/12(12/12)	gap
1789796030.297059	12/12(12/12)	sustained40s
1789796072.577749	12/12(12/12)	end
1789796080.585092	cool	wait
1789796146.915829	fw(12/21)	idle
1789796161.961054	fw(12/21)	pdf_render
1789796177.134799	fw(12/21)	gap
1789796181.174362	fw(12/21)	pdf_render
1789796196.613792	fw(12/21)	gap
1789796200.656563	fw(12/21)	office
1789796203.137339	fw(12/21)	gap
1789796207.163252	fw(12/21)	office
1789796209.575490	fw(12/21)	gap
1789796213.613834	fw(12/21)	python
1789796216.312681	fw(12/21)	gap
1789796220.354620	fw(12/21)	python
1789796223.081102	fw(12/21)	gap
1789796227.122280	fw(12/21)	compress
1789796231.009147	fw(12/21)	gap
1789796235.065056	fw(12/21)	compress
1789796238.884747	fw(12/21)	gap
1789796242.931822	fw(12/21)	sustained40s
1789796284.208837	fw(12/21)	end
