1789793941.156665	3020642230	927562078	24120604	6520000	51090000	8140000	38000	1197246	0
1789793941.667547	3021107683	927606512	24120604	6520000	51090000	8140000	38000	919444	0
1789793942.175691	3021601700	927768987	24120604	6526000	51080000	8148000	38000	1169021	0
1789793942.687702	3021873916	927778996	24120604	6526000	51080000	8148000	38000	675016	0
1789793943.196078	3022049880	927785954	24120604	6526000	51080000	8148000	38000	857750	0
1789793943.709525	3022364516	927799016	24120604	6526000	51080000	8148000	38000	652580	0
1789793944.217967	3022897839	927971440	24120604	6526000	51080000	8148000	38000	951221	0
1789793944.729925	3023183911	927993412	24120604	6526000	51080000	8148000	38000	885778	0
1789793945.237913	3023406932	928002079	24120604	6536000	51080000	8161000	38000	875707	0
1789793945.750033	3023670726	928014164	24120604	6536000	51080000	8161000	38000	739699	0
1789793946.257646	3023877940	928026005	24120604	6536000	51080000	8161000	38000	645272	0
1789793946.770902	3024219552	928047917	24120604	6536000	51080000	8161000	38000	963506	0
1789793947.280108	3024397714	928061161	24120604	6550000	51080000	8178000	38000	878957	0
1789793947.792397	3024762459	928085453	24120604	6550000	51080000	8178000	38000	754996	0
1789793948.301074	3024935066	928094364	24120604	6550000	51080000	8178000	37000	823367	0
1789793948.812682	3025141181	928106876	24120604	6550000	51080000	8178000	37000	1201488	0
1789793949.320197	3025449957	928115971	24120604	6551000	51070000	8179000	38000	832523	0
1789793949.833052	3025790898	928140263	24120604	6551000	51070000	8179000	38000	1009166	0
1789793950.341930	3026023442	928153934	24120604	6551000	51070000	8179000	38000	722624	0
1789793950.855011	3026231693	928164066	24120604	6551000	51070000	8179000	38000	748154	0
1789793951.362991	3026434574	928173344	24120604	6548000	51070000	8176000	38000	668505	0
1789793951.875733	3026859255	928203983	24120604	6548000	51070000	8176000	38000	716083	0
1789793952.383065	3027075075	928216190	24120604	6548000	51070000	8176000	37000	631229	0
1789793952.896021	3027319703	928231205	24120604	6548000	51070000	8176000	37000	815462	0
