1789821308.402329	37982393121	14496270994	181701744	6137000	34620000	7662000	39000	1361608	0	1701648	0
1789821308.912527	37982705742	14496308470	181701744	6137000	34620000	7662000	39000	791303	0	1487311	0
1789821309.420934	37983177970	14496431211	181701744	6137000	34620000	7662000	37000	674996	0	1599978	0
1789821309.932122	37983443167	14496450193	181701744	6137000	34620000	7662000	37000	1018431	0	1701290	0
1789821310.439660	37983679189	14496456907	181701744	6137000	34620000	7662000	37000	1081971	0	1543057	0
1789821310.951975	37983854421	14496472715	181701744	6137000	34620000	7662000	37000	1121547	0	1561263	0
1789821311.459149	37984050343	14496480039	181701744	6178000	34610000	7714000	37000	759574	0	1502274	0
1789821311.971117	37984221058	14496492124	181701744	6178000	34610000	7714000	37000	1079923	0	1500831	0
1789821312.479291	37984394336	14496496092	181701744	6178000	34610000	7714000	37000	1201078	0	1498539	0
1789821312.990022	37984710254	14496524351	181701744	6178000	34610000	7714000	37000	974215	0	1521809	0
1789821313.496646	37984905871	14496529966	181701744	6179000	34610000	7715000	37000	800355	0	1520762	0
1789821314.008623	37985075304	14496541379	181701744	6179000	34610000	7715000	37000	1252313	0	1477400	0
1789821314.515818	37985571091	14496705319	181701744	6179000	34610000	7715000	37000	692377	0	1641882	0
1789821315.027630	37985755478	14496715756	181701744	6179000	34610000	7715000	37000	687565	0	1600284	0
1789821315.535328	37985914352	14496721005	181701744	6178000	34610000	7714000	37000	571389	0	1383803	0
1789821316.046488	37986240218	14496752072	181701744	6178000	34610000	7714000	37000	673186	0	1353602	0
1789821316.551678	37986411360	14496757504	181701744	6178000	34610000	7714000	36000	682483	0	1530201	0
1789821317.062086	37986694440	14496787228	181701744	6178000	34610000	7714000	36000	1147088	0	1600023	0
1789821317.566696	37986903912	14496793881	181701744	6189000	34600000	7727000	36000	651278	0	1425989	0
1789821318.076305	37987199627	14496828488	181701744	6189000	34600000	7727000	36000	852768	0	1500015	0
1789821318.583451	37987351299	14496832455	181701744	6189000	34600000	7727000	36000	694664	0	1500018	0
1789821319.092815	37987770548	14496868771	181701744	6189000	34600000	7727000	36000	859772	0	1337392	0
1789821319.599739	37987934610	14496873898	181701744	6188000	34600000	7726000	36000	459579	0	651257	0
1789821320.109558	37988304788	14496932003	181701744	6188000	34600000	7726000	36000	791811	0	1455647	0
1789821320.615504	37988448952	14496935849	181701744	6188000	34600000	7726000	36000	667603	0	1600000	0
1789821321.125047	37988741981	14496951901	181701744	6188000	34600000	7726000	36000	805443	0	1494404	0
1789821321.633052	37988985633	14496957638	181701744	6188000	34600000	7726000	36000	1435934	0	1600019	0
1789821322.142000	37989295020	14496997433	181701744	6188000	34600000	7726000	36000	983914	0	1427317	0
1789821322.648368	37989474096	14497008053	181701744	6190000	34600000	7728000	36000	1292463	0	1496464	0
1789821323.157435	37989670995	14497018856	181701744	6190000	34600000	7728000	36000	602172	0	1450761	0
1789821323.664944	37991753570	14497882746	181701744	6190000	34600000	7728000	40000	1428431	0	1500000	0
1789821324.193981	37995142722	14499715627	181701744	6190000	34600000	7728000	40000	1065695	0	1287006	0
1789821324.700999	37998180739	14501347825	181701744	6140000	34590000	7666000	39000	897960	0	1067787	0
1789821325.214092	38001236212	14502963543	181701744	6140000	34590000	7666000	39000	1011798	0	1200024	0
1789821325.721181	38004261717	14504558022	181701744	6140000	34590000	7666000	39000	1038512	0	1200012	0
1789821326.232794	38007321402	14506169834	181701805	6140000	34590000	7666000	39000	939441	0	1100022	0
1789821326.740057	38010348127	14507723724	181701805	6150000	34590000	7678000	39000	954619	0	1173940	0
1789821327.254989	38013426061	14509243862	181701805	6150000	34590000	7678000	39000	885446	0	1037620	0
1789821327.763140	38016453275	14510777671	181701805	6150000	34590000	7678000	40000	1021208	0	1199987	0
1789821328.274184	38019504232	14512362811	181701805	6150000	34590000	7678000	40000	977447	0	1199975	0
1789821328.781903	38022523572	14513953933	181701805	6150000	34580000	7678000	40000	1079739	0	1345247	0
1789821329.293062	38025496160	14515501841	181701805	6150000	34580000	7678000	40000	1366282	0	2000276	0
1789821329.799807	38026484439	14515878183	181701805	6150000	34580000	7678000	38000	723899	0	1800260	0
1789821330.312462	38026697146	14515888559	181701805	6150000	34580000	7678000	38000	776377	0	1700133	0
1789821330.820509	38026861757	14515899362	181701805	6189000	34580000	7727000	37000	703953	0	1700259	0
1789821331.333808	38027151551	14515911630	181701805	6189000	34580000	7727000	37000	687528	0	1600030	0
1789821331.842455	38027336853	14515925851	181701805	6189000	34580000	7727000	37000	957226	0	1525723	0
1789821332.353422	38027521423	14515935434	181701805	6189000	34580000	7727000	37000	677963	0	1521194	0
1789821332.859001	38027760680	14515950815	181701805	6189000	34580000	7727000	37000	828579	0	1600227	0
1789821333.369222	38027971984	14515962472	181701805	6189000	34580000	7727000	37000	645054	0	1455423	0
1789821333.875245	38028347654	14516056955	181701805	6186000	34570000	7723000	39000	767723	0	1700111	0
1789821334.383364	38029133052	14516393868	181701805	6186000	34570000	7723000	39000	1160679	0	1545163	0
1789821334.889567	38029320430	14516405586	181701805	6186000	34570000	7723000	37000	852296	0	1622571	0
1789821335.399659	38029527644	14516419075	181701805	6186000	34570000	7723000	37000	1059529	0	1385733	0
1789821335.905199	38029840570	14516428597	181701805	6189000	34570000	7727000	37000	668974	0	1550163	0
