tier	task	seconds	t0	t1	soc_joules	work
10W#p2	pdf_st	9.790	1789822249.475	1789822259.265	28.6	40
10W#p2	py_st	2.887	1789822262.288	1789822265.175	15.5	2
10W#p2	sha_st	4.677	1789822268.198	1789822272.875	19.5	2048
9W#p2	zstd_mt	8.288	1789822300.068	1789822308.357	73.8	500
9W#p2	sha_mt	2.128	1789822311.391	1789822313.519	19.1	4096
9W#p2	pdf_mt	3.505	1789822316.588	1789822320.094	30.6	80
9W#p2	pdf_st	9.842	1789822323.150	1789822332.992	27.9	40
9W#p2	py_st	2.933	1789822336.016	1789822338.949	14.8	2
9W#p2	sha_st	4.744	1789822341.980	1789822346.724	19.6	2048
8W#p2	zstd_mt	9.434	1789822371.909	1789822381.343	74.8	500
8W#p2	sha_mt	2.292	1789822384.375	1789822386.667	18.6	4096
8W#p2	pdf_mt	3.639	1789822389.737	1789822393.375	29.0	80
8W#p2	pdf_st	9.872	1789822396.436	1789822406.308	28.2	40
8W#p2	py_st	2.918	1789822409.339	1789822412.257	14.9	2
8W#p2	sha_st	4.743	1789822415.287	1789822420.030	19.3	2048
7.5W#p2	zstd_mt	9.834	1789822445.189	1789822455.023	73.4	500
7.5W#p2	sha_mt	2.500	1789822458.049	1789822460.550	18.8	4096
7.5W#p2	pdf_mt	3.843	1789822463.605	1789822467.448	28.6	80
7.5W#p2	pdf_st	9.856	1789822470.488	1789822480.344	28.2	40
7.5W#p2	py_st	2.925	1789822483.363	1789822486.288	15.5	2
7.5W#p2	sha_st	4.743	1789822489.308	1789822494.051	19.9	2048
7W#p2	zstd_mt	10.554	1789822517.213	1789822527.767	73.5	500
7W#p2	sha_mt	2.617	1789822530.801	1789822533.418	18.7	4096
7W#p2	pdf_mt	3.969	1789822536.488	1789822540.458	27.7	80
7W#p2	pdf_st	9.809	1789822543.514	1789822553.323	28.2	40
7W#p2	py_st	2.865	1789822556.352	1789822559.217	15.0	2
7W#p2	sha_st	4.773	1789822562.247	1789822567.020	19.6	2048
6.5W#p2	zstd_mt	11.207	1789822590.176	1789822601.383	72.6	500
