1789797426.109561	11258357714	4224399952	46959291	6742000	44930000	7951000	37000	1238539	0
1789797426.619977	11258677659	4224435169	46959291	6742000	44930000	7951000	37000	640948	0
1789797427.125965	11259279281	4224616626	46959291	6742000	44930000	7951000	36000	983103	0
1789797427.636054	11259551741	4224635608	46959291	6742000	44930000	7951000	36000	828244	0
1789797428.142173	11259732771	4224645312	46959291	6754000	44920000	7965000	36000	795212	0
1789797428.652205	11259978925	4224663379	46959291	6754000	44920000	7965000	36000	665135	0
1789797429.158089	11260207929	4224674304	46959291	6754000	44920000	7965000	36000	954868	0
1789797429.667465	11260417401	4224687793	46959291	6754000	44920000	7965000	36000	891806	0
1789797430.173429	11260748638	4224692065	46959291	6758000	44920000	7970000	36000	671922	0
1789797430.681949	11260939555	4224704455	46959291	6758000	44920000	7970000	36000	885499	0
1789797431.188502	11261079386	4224708545	46959291	6758000	44920000	7970000	36000	650877	0
1789797431.697031	11261291849	4224722522	46959291	6758000	44920000	7970000	36000	747266	0
1789797432.203083	11261565103	4224735095	46959291	6771000	44920000	7985000	36000	656604	0
1789797432.713128	11262006874	4224772875	46959291	6771000	44920000	7985000	36000	587615	0
1789797433.219312	11262174171	4224777819	46959291	6771000	44920000	7985000	36000	572003	0
1789797433.729304	11262357764	4224790393	46959291	6771000	44920000	7985000	36000	655211	0
1789797434.236029	11262954321	4224993700	46959535	6771000	44920000	7985000	36000	998107	0
1789797434.744055	11263602573	4225086168	46959535	6771000	44920000	7985000	36000	1129171	0
1789797435.249038	11264229525	4225174059	46959535	6764000	44910000	7977000	36000	923513	0
1789797435.758296	11264858002	4225264207	46959535	6764000	44910000	7977000	36000	556200	0
1789797436.264357	11265014801	4225269578	46959535	6764000	44910000	7977000	36000	881593	0
1789797436.773261	11265263458	4225289171	46959535	6764000	44910000	7977000	36000	663436	0
1789797437.279149	11265511199	4225305650	46959535	6770000	44910000	7984000	36000	642232	0
1789797437.788109	11265737272	4225320665	46959535	6770000	44910000	7984000	36000	912932	0
1789797438.294252	11265986051	4225327501	46959535	6770000	44910000	7984000	36000	681270	0
