tier	task	seconds	t0	t1	soc_joules	work
saver+bp#r5	sustained20s	24.547	1789798933.402	1789798957.949	146.7	1000
saver+bp#r6	bursty	10.045	1789798988.487	1789798998.532	9.4	20
saver+bp#r6	pdf_render	9.888	1789799001.610	1789799011.498	27.9	1
saver+bp#r6	office	1.709	1789799014.551	1789799016.260	6.3	1
saver+bp#r6	python	1.487	1789799019.311	1789799020.798	7.7	1
saver+bp#r6	compress	6.206	1789799023.854	1789799030.060	37.1	1
saver+bp#r6	sustained20s	24.731	1789799033.135	1789799057.866	147.8	1000
balanced#r6	bursty	10.049	1789799090.484	1789799100.533	10.3	20
balanced#r6	pdf_render	9.895	1789799103.610	1789799113.505	28.2	1
balanced#r6	office	1.628	1789799116.560	1789799118.188	6.1	1
balanced#r6	python	1.496	1789799121.244	1789799122.740	7.8	1
balanced#r6	compress	6.111	1789799125.792	1789799131.903	36.7	1
balanced#r6	sustained20s	24.592	1789799134.975	1789799159.567	146.8	1000
saver#r6	bursty	10.048	1789799192.204	1789799202.252	9.2	20
saver#r6	pdf_render	14.938	1789799205.330	1789799220.268	27.7	1
saver#r6	office	2.482	1789799223.336	1789799225.818	5.8	1
saver#r6	python	2.649	1789799228.879	1789799231.528	6.7	1
saver#r6	compress	6.365	1789799234.591	1789799240.956	36.6	1
saver#r6	sustained20s	25.114	1789799244.021	1789799269.135	147.1	1000
