tier	task	seconds	t0	t1	soc_joules	work
battery6	idle	15.009	1789818981.202	1789818996.211	9.7	1
battery6	geekbench_cpu	344.337	1789818996.231	1789819340.569	1020.0	1
ac	idle	15.005	1789819367.688	1789819382.693	32.0	1
ac	geekbench_cpu	262.166	1789819382.730	1789819644.895	2347.3	1
performance	idle	15.004	1789819661.252	1789819676.257	38.0	1
performance	geekbench_cpu	262.287	1789819676.266	1789819938.552	2558.8	1
