1789818273.285723	26937773873	8758852211	128624243	4999000	20550000	7496000	34000	1360455	0	1700322	0
1789818273.795559	26938851019	8759255469	128628576	4999000	20550000	7496000	34000	831781	0	1700340	0
1789818274.302155	26939914981	8759752599	128628576	4996000	20540000	7491000	34000	1127776	0	2200821	0
1789818274.814657	26940241640	8759794042	128631323	4996000	20540000	7491000	34000	837250	0	1534869	0
1789818275.321127	26940512208	8759813207	128633337	4996000	20540000	7491000	34000	641370	0	1500000	0
1789818275.834180	26940827149	8759846837	128634497	4996000	20540000	7491000	34000	855986	0	1458503	0
1789818276.342027	26941099182	8759867589	128635534	4996000	20540000	7491000	34000	1022197	0	1564411	0
1789818276.854525	26941387878	8759892674	128637060	4996000	20540000	7491000	34000	761017	0	1525288	0
1789818277.363150	26941679076	8759909337	128637060	4999000	20540000	7495000	34000	935894	0	1700101	0
1789818277.875114	26942002866	8759929539	128637060	4999000	20540000	7495000	34000	870052	0	1461875	0
1789818278.384019	26942263364	8759945592	128637060	4999000	20540000	7495000	34000	956020	0	1443818	0
1789818278.897130	26942580501	8759979405	128637060	4999000	20540000	7495000	34000	855190	0	1504349	0
1789818279.405065	26942883113	8759994359	128637060	4999000	20530000	7496000	34000	788538	0	1477419	0
1789818279.917795	26943259455	8760026402	128637060	4999000	20530000	7496000	34000	753040	0	1548193	0
1789818280.426094	26943508233	8760041661	128637060	4999000	20530000	7496000	34000	898407	0	1352298	0
1789818280.939115	26943791436	8760071690	128637060	4999000	20530000	7496000	34000	856148	0	1459306	0
1789818281.448051	26944049065	8760085850	128637060	4999000	20530000	7495000	34000	1094663	0	1483590	0
1789818281.959966	26944355155	8760122044	128637060	4999000	20530000	7495000	34000	870929	0	1462696	0
1789818282.467791	26944617300	8760140354	128637060	4999000	20530000	7495000	34000	692060	0	1536114	0
1789818282.979037	26944901174	8760170383	128637060	4999000	20530000	7495000	34000	680133	0	1540976	0
1789818283.487618	26945225636	8760184605	128637060	5001000	20530000	7498000	34000	684134	0	1521154	0
1789818283.997407	26945511646	8760216160	128637060	5001000	20530000	7498000	34000	1027172	0	1555996	0
1789818284.503432	26946092028	8760410800	128637060	5001000	20530000	7498000	34000	665714	0	1520018	0
1789818285.011983	26946346788	8760435581	128637060	5001000	20530000	7498000	34000	1194910	0	1400135	0
1789818285.520019	26946584581	8760452243	128637060	5001000	20520000	7499000	34000	1021842	0	1522096	0
1789818286.028342	26946858200	8760478122	128637060	5001000	20520000	7499000	34000	1016344	0	1465533	0
1789818286.534565	26947088547	8760487338	128637060	5001000	20520000	7499000	34000	1121224	0	1542266	0
1789818287.046243	26947355208	8760512485	128637060	5001000	20520000	7499000	34000	590116	0	1428537	0
1789818287.552615	26947594771	8760521884	128637060	5001000	20520000	7498000	34000	922815	0	1404617	0
1789818288.064368	26947862714	8760549167	128637060	5001000	20520000	7498000	34000	970642	0	1321309	0
1789818288.570542	26948200909	8760601962	128637060	5001000	20520000	7498000	34000	801119	0	1550291	0
